symbol,side,type,price,timestamp
TSLA,buy,limit,658.31,1608917503.4851658
AAPL,buy,limit,130.07,1608917504.0350537
AAPL,sell,limit,131.74,1608917504.804372
FB,sell,limit,266.43,1608917505.0082464
FB,sell,market,,1608917505.7170572
AAPL,buy,market,,1608917505.8121967
TSLA,buy,limit,658.57,1608917506.6284983
AAPL,buy,market,,1608917507.1416788
FB,sell,limit,266.9,1608917507.4981558
GOOG,buy,market,1732.7,1608917508.280686
AAPL,sell,limit,131.83,1608917508.5775752
FB,sell,limit,,1608917509.0624194
AAPL,sell,market,,1608917509.7661908
AMZN,sell,limit,3170.87,1608917510.4223096
AAPL,buy,market,,1608917511.0268838
AMZN,sell,limit,,1608917511.419897
GOOG,sell,market,,1608917512.254943
TSLA,sell,market,,1608917512.9646392
AAPL,buy,market,,1608917513.2346928
GOOG,buy,market,1732.06,1608917513.667607
FB,buy,limit,265.72,1608917514.5726533
GOOG,sell,limit,1733.75,1608917514.865405
FB,sell,limit,265.56,1608917515.3289983
FB,sell,market,,1608917516.0092611
FB,sell,limit,265.41,1608917516.7925098
FB,buy,market,,1608917516.840667
FB,buy,market,,1608917517.4671187
GOOG,sell,market,,1608917517.5936465
AMZN,sell,market,,1608917518.1359558
AAPL,buy,limit,130.9,1608917518.7753682
TSLA,buy,market,,1608917519.7118723
FB,sell,limit,265.31,1608917520.0947783
AMZN,buy,market,,1608917520.4256938
TSLA,buy,limit,658.18,1608917520.5820224
FB,buy,limit,266.43,1608917521.5281806
AAPL,buy,market,130.17,1608917521.7397964
AMZN,buy,limit,3170.71,1608917522.3541985
AAPL,sell,market,,1608917522.6716402
FB,sell,market,,1608917523.6627972
AAPL,sell,market,,1608917524.531311
AMZN,sell,limit,3170.63,1608917524.989854
GOOG,sell,market,,1608917525.8505008
GOOG,buy,market,,1608917525.9414887
GOOG,buy,market,,1608917526.7550108
TSLA,sell,market,,1608917526.822404
GOOG,buy,limit,1732.53,1608917527.8042734
TSLA,sell,market,,1608917528.3954713
TSLA,buy,market,,1608917528.995155
AMZN,sell,limit,3171.05,1608917529.150297
AMZN,buy,market,,1608917529.5823343
FB,buy,limit,265.63,1608917529.637734
AAPL,buy,market,,1608917529.7476208
TSLA,buy,market,,1608917530.212633
AAPL,buy,market,,1608917531.1373756
AMZN,buy,market,3170.05,1608917531.4736443
FB,buy,market,,1608917532.326995
FB,sell,market,,1608917532.615609
AAPL,buy,market,,1608917532.634876
FB,sell,limit,266.47,1608917532.8880985
AAPL,sell,market,,1608917533.1205397
AAPL,sell,market,,1608917533.138613
AMZN,buy,market,,1608917533.3672721
AAPL,buy,market,,1608917534.3551047
AAPL,buy,limit,130.91,1608917535.167243
FB,sell,market,,1608917535.5314672
TSLA,buy,market,,1608917535.6769547
AMZN,sell,limit,3170.64,1608917536.0135815
FB,sell,market,,1608917536.8995547
AAPL,sell,market,,1608917537.2839017
TSLA,sell,market,,1608917537.78108
FB,buy,market,,1608917538.2836761
AMZN,buy,market,,1608917539.0199525
GOOG,buy,limit,1732.29,1608917539.1995275
TSLA,sell,market,,1608917539.2468727
TSLA,sell,limit,659.55,1608917539.5262566
TSLA,buy,market,,1608917540.1260152
FB,buy,limit,266.82,1608917541.0582836
GOOG,sell,market,,1608917541.6061318
AAPL,buy,limit,131.49,1608917542.235007
AMZN,sell,limit,3171.37,1608917542.577965
GOOG,sell,limit,1732.79,1608917543.1020458
FB,buy,market,,1608917544.0247464
TSLA,buy,limit,658.26,1608917544.5496874
TSLA,sell,limit,658.8,1608917545.3021524
AAPL,sell,market,,1608917545.6792393
AAPL,sell,limit,,1608917545.8876445
GOOG,sell,limit,1732.01,1608917546.3304572
AMZN,sell,market,,1608917546.438049
TSLA,buy,market,,1608917547.0790536
GOOG,sell,market,,1608917548.0657403
TSLA,sell,limit,659.72,1608917548.1736293
AMZN,buy,limit,3170.59,1608917548.4692137
TSLA,sell,market,,1608917549.0294826
AAPL,buy,market,,1608917549.7041972
GOOG,sell,limit,1732.69,1608917550.177747
GOOG,buy,limit,1733.86,1608917550.848028
AAPL,buy,market,,1608917551.065318
TSLA,buy,limit,659.63,1608917551.8360164
GOOG,sell,market,1733.21,1608917552.583852
TSLA,sell,market,,1608917553.035545
FB,sell,limit,265.97,1608917553.8312678
FB,sell,limit,266.51,1608917554.1379058
AMZN,buy,limit,3171.88,1608917554.9072142
FB,buy,market,,1608917555.8313158
AAPL,sell,market,131.14,1608917556.4568522
AMZN,buy,market,,1608917557.0265386
FB,sell,market,,1608917557.6153102
TSLA,sell,market,,1608917557.8645535
TSLA,buy,market,,1608917558.1381402
AAPL,buy,limit,131.52,1608917558.8913841
FB,buy,market,,1608917559.3639617
GOOG,sell,limit,1732.51,1608917560.2797155
FB,sell,market,,1608917561.0082722
AMZN,buy,market,,1608917562.0019276
AAPL,sell,market,,1608917562.0645773
TSLA,buy,limit,659.13,1608917562.3169787
AMZN,sell,limit,3170.73,1608917562.6223383
AAPL,buy,limit,131.08,1608917562.9336815
AAPL,buy,market,,1608917563.1983457
FB,sell,market,,1608917563.3185089
FB,buy,market,,1608917563.8072903
GOOG,sell,market,,1608917564.2086453
FB,sell,limit,266.97,1608917565.1993625
AAPL,sell,market,,1608917565.3202069
FB,buy,limit,265.85,1608917565.403569
AMZN,buy,limit,3170.27,1608917566.07614
AMZN,buy,market,,1608917566.5077522
FB,sell,market,,1608917566.964215
TSLA,buy,market,,1608917567.0834916
AAPL,buy,limit,130.6,1608917567.6319833
AMZN,sell,market,,1608917568.376992
TSLA,buy,limit,659.84,1608917569.2590485
GOOG,buy,market,,1608917569.294198
GOOG,sell,market,,1608917569.922341
GOOG,sell,limit,1732.95,1608917570.8993835
FB,buy,market,,1608917571.6816669
FB,sell,market,,1608917572.6397283
GOOG,buy,limit,1733.22,1608917572.6512768
TSLA,buy,limit,658.68,1608917572.8996224
FB,buy,limit,266.18,1608917573.664438
AMZN,buy,limit,3171.57,1608917573.8103914
FB,buy,market,,1608917574.5999548
AAPL,sell,limit,130.75,1608917575.5988889
AMZN,buy,limit,3170.6,1608917576.518565
AMZN,buy,market,,1608917576.7640257
AMZN,buy,market,,1608917577.5106635
FB,sell,market,266.11,1608917577.6901596
GOOG,buy,market,,1608917578.3083084
GOOG,buy,limit,1733.52,1608917579.2418013
FB,buy,limit,266.37,1608917579.4141045
TSLA,sell,market,,1608917579.9247026
GOOG,sell,limit,1733.37,1608917580.4169993
TSLA,buy,market,,1608917580.9226143
TSLA,buy,limit,658.21,1608917581.800912
TSLA,sell,limit,658.13,1608917582.3888445
AMZN,sell,limit,3171.61,1608917582.7955914
GOOG,sell,limit,1733.68,1608917583.509979
GOOG,sell,market,,1608917584.1473238
AMZN,sell,market,,1608917584.3384483
TSLA,buy,market,,1608917584.7881114
FB,buy,market,,1608917585.4812295
AMZN,buy,market,,1608917585.8467305
AMZN,sell,limit,3171.98,1608917586.4459693
TSLA,sell,market,,1608917587.357816
FB,buy,limit,266.09,1608917588.3032312
FB,buy,limit,265.51,1608917588.4576392
TSLA,sell,limit,658.8,1608917589.2210808
FB,sell,limit,266.73,1608917589.534818
FB,buy,limit,266.88,1608917589.6523597
AMZN,sell,market,,1608917590.19743
GOOG,buy,limit,1733.05,1608917590.5277646
AAPL,buy,limit,130.77,1608917591.4227448
AAPL,buy,market,,1608917591.820067
FB,buy,limit,265.19,1608917592.1263635
AMZN,sell,market,,1608917592.961531
AAPL,sell,limit,130.83,1608917593.43602
GOOG,sell,limit,1732.56,1608917593.8481493
AMZN,sell,market,,1608917593.9753191
AAPL,sell,limit,131.66,1608917594.502822
GOOG,buy,limit,1732.64,1608917594.797883
TSLA,sell,limit,658.12,1608917594.9492934
FB,sell,limit,266.11,1608917595.860079
FB,buy,market,,1608917596.1326497
TSLA,buy,market,,1608917596.269227
AMZN,buy,market,,1608917597.0444987
GOOG,buy,limit,1732.74,1608917597.4479406
AAPL,sell,market,130.51,1608917598.059892
AMZN,sell,limit,3170.77,1608917598.4759562
FB,buy,market,,1608917599.0001197
TSLA,sell,limit,658.84,1608917599.8805637
FB,buy,market,,1608917599.9676738
AMZN,sell,limit,3171.35,1608917599.9932466
AAPL,sell,market,130.33,1608917600.283711
AAPL,sell,limit,131.16,1608917600.4569626
GOOG,buy,market,,1608917601.2303114
AAPL,buy,market,,1608917601.505621
TSLA,buy,market,,1608917601.7434967
FB,sell,limit,265.3,1608917602.1704865
FB,buy,market,265.5,1608917602.547137
FB,sell,market,,1608917602.7301025
FB,sell,market,,1608917602.789633
AAPL,buy,market,,1608917602.8365872
GOOG,sell,market,,1608917603.359234
FB,buy,market,,1608917604.3269937
AMZN,sell,market,,1608917605.2314367
GOOG,sell,limit,1732.07,1608917605.9524496
AAPL,sell,market,,1608917606.365099
GOOG,sell,market,,1608917606.5884645
FB,buy,market,,1608917607.4135723
AAPL,buy,limit,131.68,1608917607.4965835
AAPL,buy,market,,1608917608.1941862
FB,buy,limit,265.91,1608917608.6128886
AMZN,sell,market,,1608917609.2146516
AAPL,sell,market,,1608917609.7638624
AAPL,buy,limit,131.15,1608917609.961189
AMZN,buy,limit,3171.29,1608917610.7436495
AAPL,buy,limit,131.03,1608917610.8774302
FB,buy,limit,266.95,1608917611.068053
AMZN,buy,market,,1608917611.6182506
AAPL,sell,limit,130.16,1608917611.7784467
AAPL,sell,limit,131.87,1608917612.0903332
AMZN,buy,market,3171.24,1608917612.4156196
TSLA,sell,market,,1608917612.691526
FB,buy,limit,,1608917613.1471531
AAPL,sell,market,,1608917613.674183
TSLA,sell,limit,659.92,1608917614.3669834
FB,sell,market,,1608917614.5289257
TSLA,sell,limit,659.76,1608917615.4016273
GOOG,buy,market,,1608917616.1653717
TSLA,buy,limit,658.53,1608917616.8894773
AAPL,sell,limit,,1608917617.6161454
AMZN,buy,market,,1608917618.599341
TSLA,buy,market,,1608917619.5430534
TSLA,buy,limit,658.88,1608917620.364404
FB,buy,limit,266.95,1608917620.864561
TSLA,buy,limit,658.44,1608917621.6633074
AMZN,buy,market,,1608917622.3749385
AAPL,buy,limit,130.26,1608917622.6507585
AAPL,sell,limit,130.63,1608917623.297575
GOOG,sell,limit,1733.69,1608917623.433885
GOOG,sell,limit,1733.85,1608917624.066086
AMZN,sell,market,,1608917624.672926
AAPL,buy,limit,130.42,1608917625.6257582
FB,buy,market,,1608917625.9087858
AAPL,buy,market,,1608917626.3674717
AAPL,sell,limit,131.67,1608917626.8983493
AAPL,sell,limit,130.22,1608917627.7264261
AMZN,sell,limit,3171.08,1608917628.691474
AAPL,buy,limit,130.5,1608917629.2797742
AMZN,sell,market,,1608917630.01548
GOOG,sell,limit,1733.25,1608917630.777666
FB,sell,limit,266.28,1608917631.617079
AMZN,sell,limit,,1608917631.8332028
FB,sell,market,,1608917632.2755105
FB,sell,market,,1608917632.6487656
AAPL,sell,limit,130.02,1608917632.7285478
GOOG,buy,limit,1733.11,1608917633.1217575
AAPL,buy,limit,131.54,1608917633.9725378
TSLA,sell,market,,1608917634.5070076
GOOG,sell,limit,1733.59,1608917635.2002475
GOOG,buy,market,,1608917635.4903827
AAPL,buy,market,,1608917636.097401
AAPL,sell,market,,1608917636.883633
TSLA,sell,limit,659.42,1608917636.9383693
FB,sell,limit,265.63,1608917637.6054268
TSLA,sell,market,,1608917637.8068688
FB,buy,market,,1608917638.5214293
TSLA,sell,limit,658.25,1608917639.2876313
AAPL,sell,market,,1608917640.049209
GOOG,buy,limit,1733.28,1608917640.8590865
TSLA,sell,market,,1608917640.9938123
TSLA,sell,market,,1608917641.4407415
TSLA,buy,limit,659.8,1608917642.2200506
FB,sell,market,,1608917643.10635
AMZN,sell,limit,3171.16,1608917643.921465
AMZN,buy,market,,1608917644.6428273
AAPL,buy,limit,130.38,1608917645.5854754
AMZN,sell,market,,1608917646.576199
AMZN,buy,market,,1608917647.2649302
TSLA,buy,market,,1608917647.9699407
FB,sell,market,,1608917648.2463768
AMZN,buy,limit,3170.05,1608917648.7876399
TSLA,sell,limit,658.07,1608917649.086339
AMZN,sell,market,,1608917649.3608134
GOOG,sell,market,,1608917650.0014148
FB,sell,limit,265.81,1608917650.7365322
AMZN,sell,limit,3171.86,1608917650.904811
AAPL,buy,limit,131.59,1608917651.6329546
FB,sell,market,,1608917652.5947237
FB,buy,market,,1608917653.2132597
GOOG,sell,limit,1732.42,1608917653.5151887
AMZN,sell,limit,3171.99,1608917654.2091608
GOOG,sell,limit,1733.91,1608917655.0604064
FB,sell,limit,265.99,1608917655.4463897
AMZN,sell,limit,3171.02,1608917656.1557834
FB,sell,limit,266.0,1608917657.077105
AMZN,buy,market,,1608917657.8663661
TSLA,sell,limit,658.21,1608917658.434539
AMZN,sell,market,,1608917658.4862223
TSLA,sell,limit,658.2,1608917659.0416188
FB,buy,limit,266.77,1608917659.106719
TSLA,buy,limit,658.69,1608917659.486355
AAPL,sell,market,,1608917659.8932037
AMZN,buy,limit,3170.75,1608917660.8366637
AAPL,buy,market,,1608917661.5805168
TSLA,sell,market,,1608917661.8877652
FB,buy,limit,265.69,1608917661.9586415
AMZN,buy,market,,1608917662.3189878
FB,sell,limit,266.62,1608917662.8696706
AMZN,sell,market,,1608917662.9077032
AMZN,sell,limit,3171.97,1608917663.6240976
TSLA,buy,market,,1608917664.374612
TSLA,sell,market,,1608917664.7157552
AMZN,sell,market,3170.88,1608917665.4970179
AMZN,buy,limit,3171.29,1608917665.6715298
GOOG,buy,limit,1733.51,1608917666.5274816
GOOG,sell,limit,1732.59,1608917667.2490535
TSLA,sell,market,,1608917667.9979088
AAPL,sell,limit,130.2,1608917668.1451228
AMZN,sell,limit,3170.28,1608917668.4566584
AMZN,buy,market,,1608917669.0928183
FB,buy,market,,1608917669.9526553
TSLA,sell,limit,658.49,1608917670.178255
AMZN,buy,market,,1608917670.2462134
FB,buy,limit,266.21,1608917670.5999527
AMZN,buy,limit,3170.43,1608917670.8058298
TSLA,buy,limit,659.09,1608917671.1449695
TSLA,buy,limit,659.46,1608917671.5454996
FB,sell,market,,1608917671.9494298
AAPL,sell,market,,1608917672.643806
GOOG,buy,market,,1608917672.7490983
AMZN,buy,limit,3171.73,1608917672.9282937
TSLA,buy,market,,1608917673.3805556
AAPL,buy,limit,131.55,1608917673.8716748
TSLA,sell,market,,1608917674.0535173
FB,sell,limit,265.36,1608917674.47071
AAPL,sell,limit,130.83,1608917674.9558973
AMZN,sell,market,,1608917675.6284456
AMZN,sell,market,,1608917676.0724304
AAPL,sell,market,,1608917676.5938947
AMZN,sell,market,,1608917676.6762474
AAPL,sell,limit,130.76,1608917676.8254077
AAPL,sell,market,130.09,1608917677.5020618
GOOG,sell,market,,1608917678.1633556
GOOG,buy,market,,1608917678.337535
GOOG,buy,market,,1608917678.9130223
TSLA,buy,market,,1608917679.6898773
GOOG,buy,market,,1608917680.5798414
AMZN,buy,market,,1608917681.5414984
AAPL,buy,market,,1608917681.8997846
AAPL,buy,limit,131.38,1608917682.2700136
GOOG,sell,market,,1608917682.4797578
AAPL,buy,limit,130.82,1608917682.5436509
TSLA,buy,market,,1608917682.9833157
TSLA,buy,market,,1608917683.8597412
GOOG,sell,market,,1608917684.2673368
AAPL,buy,limit,130.08,1608917684.7696831
AMZN,sell,market,,1608917685.5355241
AAPL,buy,limit,,1608917686.06616
GOOG,sell,limit,1732.7,1608917686.4290884
AAPL,sell,market,,1608917686.4953341
AMZN,buy,limit,3171.64,1608917687.1701682
FB,buy,limit,266.18,1608917687.4737403
AMZN,buy,market,,1608917688.3550897
AAPL,buy,limit,131.06,1608917688.8310995
TSLA,buy,market,,1608917689.5311973
FB,sell,limit,265.07,1608917689.898422
AMZN,buy,limit,3170.71,1608917689.9803705
TSLA,sell,limit,658.34,1608917690.3435273
AAPL,buy,limit,131.7,1608917690.9433901
FB,sell,limit,266.14,1608917691.675619
AMZN,sell,market,,1608917692.5490813
TSLA,buy,limit,659.56,1608917693.2855525
TSLA,sell,market,,1608917694.1316602
TSLA,sell,limit,658.0,1608917695.0436206
AMZN,buy,market,,1608917695.8200705
GOOG,buy,market,,1608917696.6886318
AMZN,buy,limit,3171.39,1608917697.1647549
TSLA,buy,limit,658.68,1608917697.8960543
GOOG,buy,limit,1732.8,1608917698.7009351
FB,sell,limit,265.6,1608917699.6054258
TSLA,sell,limit,658.16,1608917699.9769735
AAPL,buy,limit,131.24,1608917700.7912366
GOOG,buy,limit,1733.63,1608917701.265727
AAPL,sell,limit,130.16,1608917702.1164157
AMZN,buy,limit,3171.08,1608917702.5599706
GOOG,buy,limit,1732.95,1608917703.2610917
AMZN,buy,market,,1608917703.9196582
AAPL,buy,market,,1608917704.3437614
AAPL,sell,market,131.57,1608917705.1146038
TSLA,sell,limit,659.06,1608917705.2193506
TSLA,sell,market,,1608917705.8640866
AMZN,sell,limit,3171.9,1608917706.3668413
AAPL,buy,market,,1608917706.6410763
AMZN,sell,limit,3171.95,1608917706.9188838
FB,sell,limit,265.19,1608917707.5929852
FB,buy,limit,265.8,1608917708.3531983
GOOG,sell,market,1733.75,1608917708.6897507
AMZN,sell,limit,3170.2,1608917709.2152102
FB,buy,limit,265.98,1608917709.900165
FB,sell,market,,1608917710.3710113
FB,sell,market,,1608917710.5935464
FB,buy,limit,265.53,1608917710.733918
TSLA,sell,market,,1608917711.300769
AMZN,sell,limit,3170.21,1608917711.4019194
TSLA,sell,market,,1608917711.4697983
FB,sell,market,,1608917711.8431337
AAPL,sell,limit,131.66,1608917712.8019285
GOOG,sell,limit,1733.32,1608917712.969466
AMZN,sell,market,,1608917713.859799
FB,sell,market,,1608917714.411439
TSLA,sell,market,,1608917715.2196112
AMZN,buy,limit,3170.03,1608917715.8654978
AAPL,sell,limit,131.64,1608917716.2456908
FB,buy,market,,1608917716.9565542
FB,sell,limit,265.78,1608917717.311098
GOOG,buy,limit,1732.81,1608917717.6786458
TSLA,buy,limit,658.03,1608917717.8485081
AAPL,buy,market,,1608917717.9985821
AMZN,buy,limit,3170.51,1608917718.4627745
FB,buy,limit,266.46,1608917718.5305293
TSLA,buy,limit,658.55,1608917719.0850055
GOOG,sell,market,,1608917719.1160035
TSLA,sell,market,,1608917719.351435
TSLA,sell,market,,1608917719.9607668
GOOG,sell,limit,1733.2,1608917720.3857474
AAPL,buy,limit,131.69,1608917721.3583927
FB,buy,market,,1608917722.0860138
FB,sell,market,,1608917722.67472
TSLA,buy,limit,659.54,1608917723.153072
AMZN,sell,market,,1608917723.9420872
AAPL,buy,limit,130.97,1608917724.5927107
AMZN,buy,market,,1608917725.4571795
AMZN,buy,market,,1608917725.9948301
AAPL,buy,market,,1608917726.3547783
TSLA,sell,market,658.55,1608917726.6544743
GOOG,sell,limit,1732.2,1608917727.5096126
GOOG,sell,limit,1732.04,1608917728.471196
AAPL,buy,market,,1608917728.6565456
AMZN,sell,market,,1608917728.7831748
TSLA,buy,limit,659.01,1608917728.8099215
FB,buy,market,,1608917729.5501301
GOOG,buy,market,,1608917729.5901072
AAPL,sell,market,,1608917729.6270008
AMZN,sell,limit,3170.86,1608917729.8134549
GOOG,buy,limit,1732.38,1608917730.2509458
AAPL,sell,limit,130.52,1608917731.219853
AAPL,buy,market,,1608917731.3599207
AAPL,sell,market,,1608917731.8072464
GOOG,buy,market,,1608917731.9989913
TSLA,sell,market,,1608917732.0510879
GOOG,buy,market,,1608917732.4401228
AMZN,sell,market,3171.36,1608917733.2747874
