symbol,side,type,price,timestamp,reason
FB,BUY,LIMIT,266.37,1608917429.4098556,product-halted
GOOG,SELL,MARKET,0.00,1608917430.763677,product-halted
GOOG,SELL,LIMIT,1733.43,1608917431.1912713,product-halted
FB,BUY,LIMIT,265.95,1608917431.2420266,product-halted
GOOG,SELL,LIMIT,1732.02,1608917434.5290165,product-halted
FB,SELL,LIMIT,265.51,1608917435.4442482,product-halted
FB,BUY,LIMIT,266.69,1608917435.9956927,product-halted
GOOG,BUY,MARKET,0.00,1608917436.9739656,product-halted
FB,BUY,MARKET,0.00,1608917440.4336874,product-halted
GOOG,BUY,LIMIT,1732.99,1608917442.3090363,product-halted
AAPL,SELL,MARKET,130.82,1608917442.4593868,no-match
FB,SELL,MARKET,0.00,1608917443.5627713,product-halted
FB,SELL,LIMIT,265.15,1608917443.8630934,product-halted
FB,BUY,LIMIT,265.52,1608917447.5746224,product-halted
GOOG,SELL,MARKET,1733.20,1608917448.308292,product-halted
FB,SELL,LIMIT,265.41,1608917448.9267464,product-halted
GOOG,SELL,MARKET,0.00,1608917449.718915,product-halted
AAPL,SELL,MARKET,0.00,1608917450.6637983,no-match
GOOG,BUY,LIMIT,1733.94,1608917451.312478,product-halted
TSLA,BUY,MARKET,659.74,1608917452.9174292,no-match
GOOG,BUY,MARKET,0.00,1608917453.7466867,product-halted
GOOG,BUY,LIMIT,1733.12,1608917454.1263905,product-halted
GOOG,BUY,LIMIT,1733.23,1608917454.1885679,product-halted
FB,SELL,LIMIT,266.14,1608917455.4904716,product-halted
FB,BUY,LIMIT,265.77,1608917455.5192223,product-halted
GOOG,BUY,MARKET,0.00,1608917458.7226686,product-halted
AAPL,SELL,MARKET,0.00,1608917460.2866104,no-match
FB,BUY,LIMIT,265.27,1608917462.1411726,product-halted
GOOG,SELL,LIMIT,1732.58,1608917463.9033723,product-halted
GOOG,SELL,LIMIT,1733.34,1608917465.4425335,product-halted
FB,SELL,MARKET,0.00,1608917466.418722,product-halted
AAPL,BUY,MARKET,0.00,1608917466.5800157,no-match
FB,BUY,LIMIT,266.11,1608917467.9938896,product-halted
FB,BUY,LIMIT,265.97,1608917469.4607775,product-halted
FB,BUY,MARKET,0.00,1608917470.4477334,product-halted
FB,SELL,MARKET,0.00,1608917471.91177,product-halted
GOOG,SELL,LIMIT,1732.29,1608917471.9309714,product-halted
FB,BUY,LIMIT,266.66,1608917472.3070548,product-halted
GOOG,SELL,LIMIT,1733.46,1608917473.1352837,product-halted
FB,BUY,LIMIT,266.90,1608917473.9647074,product-halted
GOOG,SELL,LIMIT,1732.95,1608917475.6339245,product-halted
GOOG,SELL,LIMIT,1732.80,1608917475.9155083,product-halted
GOOG,BUY,MARKET,0.00,1608917477.95506,product-halted
FB,SELL,LIMIT,266.81,1608917478.6817195,product-halted
FB,BUY,MARKET,0.00,1608917482.669388,product-halted
GOOG,BUY,LIMIT,0.00,1608917484.7748494,product-halted
FB,BUY,MARKET,0.00,1608917485.7064211,product-halted
FB,SELL,LIMIT,266.15,1608917485.8396816,product-halted
FB,BUY,LIMIT,266.02,1608917487.1376097,product-halted
GOOG,BUY,MARKET,0.00,1608917487.828415,product-halted
FB,BUY,MARKET,0.00,1608917495.866886,product-halted
AAPL,SELL,MARKET,0.00,1608917498.3896575,no-match
GOOG,SELL,LIMIT,1733.46,1608917499.6905937,product-halted
FB,BUY,MARKET,0.00,1608917500.45958,product-halted
FB,SELL,LIMIT,266.95,1608917500.5499127,product-halted
FB,SELL,MARKET,0.00,1608917500.6368787,product-halted
FB,BUY,LIMIT,265.63,1608917501.5437036,product-halted
FB,BUY,LIMIT,266.06,1608917501.5860517,product-halted
FB,SELL,LIMIT,266.43,1608917505.82464,product-halted
FB,SELL,MARKET,0.00,1608917505.7170572,product-halted
FB,SELL,LIMIT,266.90,1608917507.4981558,product-halted
GOOG,BUY,MARKET,1732.70,1608917508.280686,product-halted
FB,SELL,LIMIT,0.00,1608917509.624194,product-halted
GOOG,SELL,MARKET,0.00,1608917512.254943,product-halted
AAPL,BUY,MARKET,0.00,1608917513.2346928,no-match
GOOG,BUY,MARKET,1732.06,1608917513.667607,product-halted
FB,BUY,LIMIT,265.72,1608917514.5726533,product-halted
GOOG,SELL,LIMIT,1733.75,1608917514.865405,product-halted
FB,SELL,LIMIT,265.56,1608917515.3289983,product-halted
FB,SELL,MARKET,0.00,1608917516.92611,product-halted
FB,SELL,LIMIT,265.41,1608917516.7925098,product-halted
FB,BUY,MARKET,0.00,1608917516.840667,product-halted
FB,BUY,MARKET,0.00,1608917517.4671187,product-halted
GOOG,SELL,MARKET,0.00,1608917517.5936465,product-halted
FB,SELL,LIMIT,265.31,1608917520.947783,product-halted
FB,BUY,LIMIT,266.43,1608917521.5281806,product-halted
AAPL,BUY,MARKET,130.17,1608917521.7397964,no-match
FB,SELL,MARKET,0.00,1608917523.6627972,product-halted
AAPL,SELL,MARKET,0.00,1608917524.531311,no-match
GOOG,SELL,MARKET,0.00,1608917525.8505008,product-halted
GOOG,BUY,MARKET,0.00,1608917525.9414887,product-halted
GOOG,BUY,MARKET,0.00,1608917526.7550108,product-halted
GOOG,BUY,LIMIT,1732.53,1608917527.8042734,product-halted
FB,BUY,LIMIT,265.63,1608917529.637734,product-halted
AAPL,BUY,MARKET,0.00,1608917529.7476208,no-match
AAPL,BUY,MARKET,0.00,1608917531.1373756,no-match
AMZN,BUY,MARKET,3170.05,1608917531.4736443,no-match
FB,BUY,MARKET,0.00,1608917532.326995,product-halted
FB,SELL,MARKET,0.00,1608917532.615609,product-halted
AAPL,BUY,MARKET,0.00,1608917532.634876,no-match
FB,SELL,LIMIT,266.47,1608917532.8880985,product-halted
AAPL,SELL,MARKET,0.00,1608917533.1205397,no-match
AAPL,SELL,MARKET,0.00,1608917533.138613,no-match
AAPL,BUY,MARKET,0.00,1608917534.3551047,no-match
FB,SELL,MARKET,0.00,1608917535.5314672,product-halted
FB,SELL,MARKET,0.00,1608917536.8995547,product-halted
TSLA,SELL,MARKET,0.00,1608917537.78108,no-match
FB,BUY,MARKET,0.00,1608917538.2836761,product-halted
GOOG,BUY,LIMIT,1732.29,1608917539.1995275,product-halted
TSLA,SELL,MARKET,0.00,1608917539.2468727,no-match
FB,BUY,LIMIT,266.82,1608917541.582836,product-halted
GOOG,SELL,MARKET,0.00,1608917541.6061318,product-halted
GOOG,SELL,LIMIT,1732.79,1608917543.1020458,product-halted
FB,BUY,MARKET,0.00,1608917544.247464,product-halted
GOOG,SELL,LIMIT,1732.01,1608917546.3304572,product-halted
AMZN,SELL,MARKET,0.00,1608917546.438049,no-match
GOOG,SELL,MARKET,0.00,1608917548.657403,product-halted
GOOG,SELL,LIMIT,1732.69,1608917550.177747,product-halted
GOOG,BUY,LIMIT,1733.86,1608917550.848028,product-halted
AAPL,BUY,MARKET,0.00,1608917551.65318,no-match
GOOG,SELL,MARKET,1733.21,1608917552.583852,product-halted
FB,SELL,LIMIT,265.97,1608917553.8312678,product-halted
FB,SELL,LIMIT,266.51,1608917554.1379058,product-halted
FB,BUY,MARKET,0.00,1608917555.8313158,product-halted
AAPL,SELL,MARKET,131.14,1608917556.4568522,no-match
FB,SELL,MARKET,0.00,1608917557.6153102,product-halted
TSLA,SELL,MARKET,0.00,1608917557.8645535,no-match
FB,BUY,MARKET,0.00,1608917559.3639617,product-halted
GOOG,SELL,LIMIT,1732.51,1608917560.2797155,product-halted
FB,SELL,MARKET,0.00,1608917561.82722,product-halted
AAPL,BUY,MARKET,0.00,1608917563.1983457,no-match
FB,SELL,MARKET,0.00,1608917563.3185089,product-halted
FB,BUY,MARKET,0.00,1608917563.8072903,product-halted
GOOG,SELL,MARKET,0.00,1608917564.2086453,product-halted
FB,SELL,LIMIT,266.97,1608917565.1993625,product-halted
FB,BUY,LIMIT,265.85,1608917565.403569,product-halted
FB,SELL,MARKET,0.00,1608917566.964215,product-halted
GOOG,BUY,MARKET,0.00,1608917569.294198,product-halted
GOOG,SELL,MARKET,0.00,1608917569.922341,product-halted
GOOG,SELL,LIMIT,1732.95,1608917570.8993835,product-halted
FB,BUY,MARKET,0.00,1608917571.6816669,product-halted
FB,SELL,MARKET,0.00,1608917572.6397283,product-halted
GOOG,BUY,LIMIT,1733.22,1608917572.6512768,product-halted
FB,BUY,LIMIT,266.18,1608917573.664438,product-halted
FB,BUY,MARKET,0.00,1608917574.5999548,product-halted
FB,SELL,MARKET,266.11,1608917577.6901596,product-halted
GOOG,BUY,MARKET,0.00,1608917578.3083084,product-halted
GOOG,BUY,LIMIT,1733.52,1608917579.2418013,product-halted
FB,BUY,LIMIT,266.37,1608917579.4141045,product-halted
GOOG,SELL,LIMIT,1733.37,1608917580.4169993,product-halted
TSLA,BUY,MARKET,0.00,1608917580.9226143,no-match
GOOG,SELL,LIMIT,1733.68,1608917583.509979,product-halted
GOOG,SELL,MARKET,0.00,1608917584.1473238,product-halted
TSLA,BUY,MARKET,0.00,1608917584.7881114,no-match
FB,BUY,MARKET,0.00,1608917585.4812295,product-halted
FB,BUY,LIMIT,266.09,1608917588.3032312,product-halted
FB,BUY,LIMIT,265.51,1608917588.4576392,product-halted
FB,SELL,LIMIT,266.73,1608917589.534818,product-halted
FB,BUY,LIMIT,266.88,1608917589.6523597,product-halted
GOOG,BUY,LIMIT,1733.05,1608917590.5277646,product-halted
AAPL,BUY,MARKET,0.00,1608917591.820067,no-match
FB,BUY,LIMIT,265.19,1608917592.1263635,product-halted
AMZN,SELL,MARKET,0.00,1608917592.961531,no-match
GOOG,SELL,LIMIT,1732.56,1608917593.8481493,product-halted
AMZN,SELL,MARKET,0.00,1608917593.9753191,no-match
GOOG,BUY,LIMIT,1732.64,1608917594.797883,product-halted
FB,SELL,LIMIT,266.11,1608917595.860079,product-halted
FB,BUY,MARKET,0.00,1608917596.1326497,product-halted
GOOG,BUY,LIMIT,1732.74,1608917597.4479406,product-halted
FB,BUY,MARKET,0.00,1608917599.1197,product-halted
FB,BUY,MARKET,0.00,1608917599.9676738,product-halted
AAPL,SELL,MARKET,130.33,1608917600.283711,no-match
GOOG,BUY,MARKET,0.00,1608917601.2303114,product-halted
FB,SELL,LIMIT,265.30,1608917602.1704865,product-halted
FB,BUY,MARKET,265.50,1608917602.547137,product-halted
FB,SELL,MARKET,0.00,1608917602.7301025,product-halted
FB,SELL,MARKET,0.00,1608917602.789633,product-halted
GOOG,SELL,MARKET,0.00,1608917603.359234,product-halted
FB,BUY,MARKET,0.00,1608917604.3269937,product-halted
AMZN,SELL,MARKET,0.00,1608917605.2314367,no-match
GOOG,SELL,LIMIT,1732.07,1608917605.9524496,product-halted
AAPL,SELL,MARKET,0.00,1608917606.365099,no-match
GOOG,SELL,MARKET,0.00,1608917606.5884645,product-halted
FB,BUY,MARKET,0.00,1608917607.4135723,product-halted
AAPL,BUY,MARKET,0.00,1608917608.1941862,no-match
FB,BUY,LIMIT,265.91,1608917608.6128886,product-halted
AMZN,SELL,MARKET,0.00,1608917609.2146516,no-match
AAPL,SELL,MARKET,0.00,1608917609.7638624,no-match
FB,BUY,LIMIT,266.95,1608917611.68053,product-halted
AMZN,BUY,MARKET,3171.24,1608917612.4156196,no-match
TSLA,SELL,MARKET,0.00,1608917612.691526,no-match
FB,BUY,LIMIT,0.00,1608917613.1471531,product-halted
FB,SELL,MARKET,0.00,1608917614.5289257,product-halted
GOOG,BUY,MARKET,0.00,1608917616.1653717,product-halted
AMZN,BUY,MARKET,0.00,1608917618.599341,no-match
FB,BUY,LIMIT,266.95,1608917620.864561,product-halted
AMZN,BUY,MARKET,0.00,1608917622.3749385,no-match
GOOG,SELL,LIMIT,1733.69,1608917623.433885,product-halted
GOOG,SELL,LIMIT,1733.85,1608917624.66086,product-halted
AMZN,SELL,MARKET,0.00,1608917624.672926,no-match
FB,BUY,MARKET,0.00,1608917625.9087858,product-halted
AMZN,SELL,MARKET,0.00,1608917630.1548,no-match
GOOG,SELL,LIMIT,1733.25,1608917630.777666,product-halted
FB,SELL,LIMIT,266.28,1608917631.617079,product-halted
FB,SELL,MARKET,0.00,1608917632.2755105,product-halted
FB,SELL,MARKET,0.00,1608917632.6487656,product-halted
GOOG,BUY,LIMIT,1733.11,1608917633.1217575,product-halted
GOOG,SELL,LIMIT,1733.59,1608917635.2002475,product-halted
GOOG,BUY,MARKET,0.00,1608917635.4903827,product-halted
FB,SELL,LIMIT,265.63,1608917637.6054268,product-halted
FB,BUY,MARKET,0.00,1608917638.5214293,product-halted
AAPL,SELL,MARKET,0.00,1608917640.49209,no-match
GOOG,BUY,LIMIT,1733.28,1608917640.8590865,product-halted
TSLA,SELL,MARKET,0.00,1608917640.9938123,no-match
TSLA,SELL,MARKET,0.00,1608917641.4407415,no-match
FB,SELL,MARKET,0.00,1608917643.10635,product-halted
AMZN,SELL,MARKET,0.00,1608917646.576199,no-match
FB,SELL,MARKET,0.00,1608917648.2463768,product-halted
GOOG,SELL,MARKET,0.00,1608917650.14148,product-halted
FB,SELL,LIMIT,265.81,1608917650.7365322,product-halted
FB,SELL,MARKET,0.00,1608917652.5947237,product-halted
FB,BUY,MARKET,0.00,1608917653.2132597,product-halted
GOOG,SELL,LIMIT,1732.42,1608917653.5151887,product-halted
GOOG,SELL,LIMIT,1733.91,1608917655.604064,product-halted
FB,SELL,LIMIT,265.99,1608917655.4463897,product-halted
FB,SELL,LIMIT,266.00,1608917657.77105,product-halted
AMZN,SELL,MARKET,0.00,1608917658.4862223,no-match
FB,BUY,LIMIT,266.77,1608917659.106719,product-halted
TSLA,SELL,MARKET,0.00,1608917661.8877652,no-match
FB,BUY,LIMIT,265.69,1608917661.9586415,product-halted
FB,SELL,LIMIT,266.62,1608917662.8696706,product-halted
TSLA,SELL,MARKET,0.00,1608917664.7157552,no-match
AMZN,SELL,MARKET,3170.88,1608917665.4970179,no-match
GOOG,BUY,LIMIT,1733.51,1608917666.5274816,product-halted
GOOG,SELL,LIMIT,1732.59,1608917667.2490535,product-halted
TSLA,SELL,MARKET,0.00,1608917667.9979088,no-match
FB,BUY,MARKET,0.00,1608917669.9526553,product-halted
FB,BUY,LIMIT,266.21,1608917670.5999527,product-halted
FB,SELL,MARKET,0.00,1608917671.9494298,product-halted
AAPL,SELL,MARKET,0.00,1608917672.643806,no-match
GOOG,BUY,MARKET,0.00,1608917672.7490983,product-halted
TSLA,BUY,MARKET,0.00,1608917673.3805556,no-match
TSLA,SELL,MARKET,0.00,1608917674.535173,no-match
FB,SELL,LIMIT,265.36,1608917674.47071,product-halted
AAPL,SELL,MARKET,0.00,1608917676.5938947,no-match
AMZN,SELL,MARKET,0.00,1608917676.6762474,no-match
AAPL,SELL,MARKET,130.09,1608917677.5020618,no-match
GOOG,SELL,MARKET,0.00,1608917678.1633556,product-halted
GOOG,BUY,MARKET,0.00,1608917678.337535,product-halted
GOOG,BUY,MARKET,0.00,1608917678.9130223,product-halted
TSLA,BUY,MARKET,0.00,1608917679.6898773,no-match
GOOG,BUY,MARKET,0.00,1608917680.5798414,product-halted
GOOG,SELL,MARKET,0.00,1608917682.4797578,product-halted
TSLA,BUY,MARKET,0.00,1608917682.9833157,no-match
TSLA,BUY,MARKET,0.00,1608917683.8597412,no-match
GOOG,SELL,MARKET,0.00,1608917684.2673368,product-halted
AMZN,SELL,MARKET,0.00,1608917685.5355241,no-match
GOOG,SELL,LIMIT,1732.70,1608917686.4290884,product-halted
FB,BUY,LIMIT,266.18,1608917687.4737403,product-halted
AMZN,BUY,MARKET,0.00,1608917688.3550897,no-match
TSLA,BUY,MARKET,0.00,1608917689.5311973,no-match
FB,SELL,LIMIT,265.07,1608917689.898422,product-halted
FB,SELL,LIMIT,266.14,1608917691.675619,product-halted
TSLA,SELL,MARKET,0.00,1608917694.1316602,no-match
AMZN,BUY,MARKET,0.00,1608917695.8200705,no-match
GOOG,BUY,MARKET,0.00,1608917696.6886318,product-halted
GOOG,BUY,LIMIT,1732.80,1608917698.7009351,product-halted
FB,SELL,LIMIT,265.60,1608917699.6054258,product-halted
GOOG,BUY,LIMIT,1733.63,1608917701.265727,product-halted
GOOG,BUY,LIMIT,1732.95,1608917703.2610917,product-halted
AMZN,BUY,MARKET,0.00,1608917703.9196582,no-match
AAPL,BUY,MARKET,0.00,1608917704.3437614,no-match
AAPL,SELL,MARKET,131.57,1608917705.1146038,no-match
TSLA,SELL,MARKET,0.00,1608917705.8640866,no-match
AAPL,BUY,MARKET,0.00,1608917706.6410763,no-match
FB,SELL,LIMIT,265.19,1608917707.5929852,product-halted
FB,BUY,LIMIT,265.80,1608917708.3531983,product-halted
GOOG,SELL,MARKET,1733.75,1608917708.6897507,product-halted
FB,BUY,LIMIT,265.98,1608917709.900165,product-halted
FB,SELL,MARKET,0.00,1608917710.3710113,product-halted
FB,SELL,MARKET,0.00,1608917710.5935464,product-halted
FB,BUY,LIMIT,265.53,1608917710.733918,product-halted
TSLA,SELL,MARKET,0.00,1608917711.300769,no-match
TSLA,SELL,MARKET,0.00,1608917711.4697983,no-match
FB,SELL,MARKET,0.00,1608917711.8431337,product-halted
GOOG,SELL,LIMIT,1733.32,1608917712.969466,product-halted
FB,SELL,MARKET,0.00,1608917714.411439,product-halted
TSLA,SELL,MARKET,0.00,1608917715.2196112,no-match
FB,BUY,MARKET,0.00,1608917716.9565542,product-halted
FB,SELL,LIMIT,265.78,1608917717.311098,product-halted
GOOG,BUY,LIMIT,1732.81,1608917717.6786458,product-halted
FB,BUY,LIMIT,266.46,1608917718.5305293,product-halted
GOOG,SELL,MARKET,0.00,1608917719.1160035,product-halted
TSLA,SELL,MARKET,0.00,1608917719.9607668,no-match
GOOG,SELL,LIMIT,1733.20,1608917720.3857474,product-halted
FB,BUY,MARKET,0.00,1608917722.860138,product-halted
FB,SELL,MARKET,0.00,1608917722.67472,product-halted
AAPL,BUY,MARKET,0.00,1608917726.3547783,no-match
TSLA,SELL,MARKET,658.55,1608917726.6544743,no-match
GOOG,SELL,LIMIT,1732.20,1608917727.5096126,product-halted
GOOG,SELL,LIMIT,1732.04,1608917728.471196,product-halted
AAPL,BUY,MARKET,0.00,1608917728.6565456,no-match
FB,BUY,MARKET,0.00,1608917729.5501301,product-halted
GOOG,BUY,MARKET,0.00,1608917729.5901072,product-halted
GOOG,BUY,LIMIT,1732.38,1608917730.2509458,product-halted
AAPL,BUY,MARKET,0.00,1608917731.3599207,no-match
GOOG,BUY,MARKET,0.00,1608917731.9989913,product-halted
GOOG,BUY,MARKET,0.00,1608917732.4401228,product-halted
AMZN,SELL,MARKET,3171.36,1608917733.2747874,no-match
GOOG,BUY,LIMIT,1732.25,1608917734.9660852,product-halted
FB,SELL,LIMIT,265.84,1608917735.5731344,product-halted
GOOG,BUY,LIMIT,1733.33,1608917736.2616663,product-halted
FB,BUY,LIMIT,265.14,1608917737.2163777,product-halted
GOOG,SELL,LIMIT,1733.21,1608917737.7893937,product-halted
FB,BUY,MARKET,0.00,1608917738.8529508,product-halted
GOOG,BUY,LIMIT,1732.21,1608917739.5287101,product-halted
FB,SELL,MARKET,0.00,1608917740.8233073,product-halted
GOOG,SELL,MARKET,0.00,1608917741.8019955,product-halted
FB,BUY,LIMIT,265.79,1608917745.248157,product-halted
FB,SELL,MARKET,0.00,1608917745.6269684,product-halted
GOOG,BUY,LIMIT,1733.30,1608917746.535787,product-halted
GOOG,SELL,LIMIT,1732.16,1608917746.5516415,product-halted
AMZN,SELL,MARKET,0.00,1608917747.244975,no-match
FB,SELL,MARKET,0.00,1608917747.7058954,product-halted
GOOG,SELL,MARKET,0.00,1608917748.587454,product-halted
GOOG,BUY,MARKET,0.00,1608917748.7148345,product-halted
GOOG,BUY,MARKET,0.00,1608917749.1028817,product-halted
FB,SELL,LIMIT,266.80,1608917749.1230347,product-halted
GOOG,SELL,LIMIT,1733.72,1608917749.47742,product-halted
GOOG,BUY,LIMIT,1733.42,1608917749.7088547,product-halted
TSLA,BUY,MARKET,0.00,1608917751.37307,no-match
GOOG,BUY,MARKET,1733.98,1608917753.4270592,product-halted
FB,BUY,LIMIT,0.00,1608917754.6530993,product-halted
TSLA,SELL,MARKET,0.00,1608917755.4161215,no-match
GOOG,SELL,LIMIT,1733.16,1608917756.6681798,product-halted
FB,SELL,LIMIT,266.80,1608917757.7919202,product-halted
FB,BUY,LIMIT,266.99,1608917759.8680286,product-halted
AMZN,BUY,MARKET,0.00,1608917760.2842596,no-match
GOOG,BUY,LIMIT,1733.27,1608917761.6789973,product-halted
GOOG,SELL,LIMIT,1732.90,1608917762.1901414,product-halted
AAPL,BUY,MARKET,0.00,1608917762.292148,no-match
GOOG,SELL,LIMIT,1732.90,1608917762.4886847,product-halted
AMZN,SELL,MARKET,0.00,1608917763.2501543,no-match
AMZN,SELL,MARKET,0.00,1608917763.2645772,no-match
FB,SELL,LIMIT,266.84,1608917763.5205042,product-halted
AAPL,BUY,MARKET,0.00,1608917763.7101576,no-match
AAPL,BUY,MARKET,0.00,1608917764.6976705,no-match
GOOG,BUY,LIMIT,1733.95,1608917765.3275025,product-halted
GOOG,SELL,LIMIT,1732.25,1608917766.2019727,product-halted
GOOG,SELL,MARKET,0.00,1608917767.746262,product-halted
FB,SELL,LIMIT,265.76,1608917768.158203,product-halted
AMZN,BUY,MARKET,0.00,1608917769.2758949,no-match
GOOG,BUY,MARKET,0.00,1608917771.8030493,product-halted
FB,BUY,LIMIT,265.40,1608917772.294175,product-halted
TSLA,BUY,MARKET,0.00,1608917772.757499,no-match
FB,SELL,MARKET,265.46,1608917773.3837183,product-halted
GOOG,BUY,LIMIT,1732.06,1608917775.422275,product-halted
FB,BUY,MARKET,0.00,1608917775.5202675,product-halted
FB,BUY,LIMIT,266.45,1608917776.438584,product-halted
FB,SELL,MARKET,265.69,1608917777.2496545,product-halted
GOOG,BUY,MARKET,1732.78,1608917778.309918,product-halted
AAPL,SELL,MARKET,0.00,1608917778.6859229,no-match
AAPL,BUY,LIMIT,130.51,1608917778.942987,order throttled: 3 per 1000 ms window
FB,BUY,LIMIT,265.83,1608917779.5971448,product-halted
TSLA,SELL,MARKET,0.00,1608917779.8291655,no-match
FB,SELL,LIMIT,0.00,1608917780.8459837,product-halted
GOOG,BUY,MARKET,0.00,1608917781.3451781,product-halted
TSLA,SELL,MARKET,0.00,1608917781.9947066,no-match
GOOG,SELL,LIMIT,1732.54,1608917782.77137,product-halted
AMZN,SELL,MARKET,0.00,1608917783.7941504,no-match
AMZN,BUY,MARKET,0.00,1608917784.4978614,no-match
AMZN,BUY,MARKET,0.00,1608917785.4154978,no-match
GOOG,SELL,LIMIT,1732.97,1608917785.8031309,product-halted
FB,BUY,LIMIT,265.08,1608917786.5146317,product-halted
FB,SELL,LIMIT,265.69,1608917786.5478756,product-halted
TSLA,SELL,MARKET,0.00,1608917787.854988,no-match
GOOG,BUY,MARKET,0.00,1608917787.1721752,product-halted
GOOG,BUY,MARKET,0.00,1608917787.8038146,product-halted
FB,BUY,LIMIT,266.94,1608917788.7352076,product-halted
FB,SELL,MARKET,0.00,1608917789.6731417,product-halted
GOOG,BUY,MARKET,1732.13,1608917790.1157165,product-halted
GOOG,BUY,LIMIT,1732.92,1608917790.456098,product-halted
GOOG,SELL,MARKET,0.00,1608917790.9610684,product-halted
FB,SELL,MARKET,0.00,1608917792.4325886,product-halted
GOOG,BUY,MARKET,1732.93,1608917794.3808837,product-halted
FB,BUY,LIMIT,265.59,1608917794.7488148,product-halted
GOOG,SELL,LIMIT,1732.12,1608917796.1466148,product-halted
AMZN,BUY,MARKET,0.00,1608917796.8469336,no-match
AMZN,SELL,MARKET,0.00,1608917797.3430452,no-match
GOOG,SELL,MARKET,0.00,1608917797.5837855,product-halted
AMZN,SELL,MARKET,0.00,1608917797.6975443,no-match
FB,BUY,MARKET,0.00,1608917798.6277497,product-halted
FB,BUY,LIMIT,266.43,1608917798.8450577,product-halted
FB,BUY,LIMIT,265.71,1608917799.6016965,product-halted
FB,BUY,LIMIT,265.35,1608917799.7485905,product-halted
FB,BUY,LIMIT,266.97,1608917800.4806306,product-halted
TSLA,SELL,MARKET,0.00,1608917800.5621417,no-match
FB,BUY,MARKET,0.00,1608917801.7883837,product-halted
AAPL,BUY,MARKET,0.00,1608917802.276906,no-match
GOOG,SELL,LIMIT,1732.89,1608917803.7323608,product-halted
FB,SELL,MARKET,0.00,1608917804.6346264,product-halted
FB,SELL,LIMIT,265.15,1608917805.1775427,product-halted
GOOG,SELL,LIMIT,1733.06,1608917806.3046908,product-halted
FB,SELL,MARKET,0.00,1608917806.5074306,product-halted
TSLA,BUY,MARKET,0.00,1608917807.2428164,no-match
FB,SELL,LIMIT,265.32,1608917808.234106,product-halted
FB,SELL,MARKET,0.00,1608917808.2565875,product-halted
GOOG,SELL,MARKET,0.00,1608917809.834317,product-halted
GOOG,SELL,MARKET,0.00,1608917810.189943,product-halted
TSLA,BUY,MARKET,659.95,1608917813.2160883,no-match
FB,SELL,LIMIT,265.48,1608917813.4822679,product-halted
GOOG,SELL,MARKET,0.00,1608917814.5491188,product-halted
AAPL,BUY,MARKET,0.00,1608917814.7501397,no-match
GOOG,BUY,LIMIT,1733.88,1608917815.897058,product-halted
AAPL,SELL,MARKET,130.95,1608917816.180078,no-match
FB,SELL,LIMIT,266.13,1608917818.1756163,product-halted
FB,SELL,LIMIT,0.00,1608917819.5956101,product-halted
FB,SELL,LIMIT,265.18,1608917819.6861866,product-halted
GOOG,BUY,LIMIT,0.00,1608917820.5452456,product-halted
FB,BUY,LIMIT,265.42,1608917821.3737254,product-halted
